product_id,product_category,product_weight_g,product_length_cm,product_height_cm,product_width_cm
PROD00106,food,11504.0,84.0,41.0,44.0
PROD00107,fashion,9281.0,79.0,47.0,49.0
PROD00108,sports,10554.0,27.0,44.0,66.0
PROD00109,food,2582.0,94.0,59.0,62.0
PROD00110,garden,8158.0,51.0,43.0,71.0
PROD00111,books,1051.0,50.0,19.0,60.0
PROD00112,books,9014.0,47.0,8.0,44.0
PROD00113,garden,11681.0,43.0,29.0,44.0
PROD00114,toys,2179.0,26.0,17.0,37.0
PROD00115,food,2817.0,46.0,37.0,10.0
PROD00116,food,10624.0,34.0,20.0,23.0
PROD00117,garden,11668.0,85.0,46.0,44.0
PROD00118,home,4624.0,96.0,70.0,63.0
PROD00119,automotive,9792.0,95.0,59.0,63.0
PROD00120,electronics,8577.0,94.0,46.0,52.0
