customer_id,customer_unique_id,customer_zip_code,customer_city,customer_state
CUST00093,UNIQ00093,50774,Belo Horizonte,GO
CUST00094,UNIQ00094,12568,Florianopolis,SP
CUST00095,UNIQ00095,72592,Recife,MG
CUST00096,UNIQ00096,77563,Curitiba,PR
CUST00097,UNIQ00097,12695,Rio de Janeiro,SP
CUST00098,UNIQ00098,58190,Vitoria,SP
CUST00099,UNIQ00099,15258,Belo Horizonte,PE
CUST00100,UNIQ00100,97538,Sao Paulo,RJ
CUST00101,UNIQ00101,49504,Recife,PE
CUST00102,UNIQ00102,43159,Belo Horizonte,SC
CUST00103,UNIQ00103,23986,Vitoria,ES
CUST00104,UNIQ00104,71858,Florianopolis,ES
CUST00105,UNIQ00105,22666,Vitoria,RJ
CUST00106,UNIQ00106,48660,Porto Alegre,BA
CUST00107,UNIQ00107,13561,Vitoria,BA
CUST00108,UNIQ00108,36854,Porto Alegre,MG
CUST00109,UNIQ00109,74505,Florianopolis,RJ
CUST00110,UNIQ00110,62251,Goiania,SP
CUST00111,UNIQ00111,32662,Porto Alegre,BA
CUST00112,UNIQ00112,18392,Sao Paulo,RS
CUST00113,UNIQ00113,40535,Vitoria,GO
CUST00114,UNIQ00114,88603,Vitoria,SP
CUST00115,UNIQ00115,62256,Sao Paulo,SC
CUST00116,UNIQ00116,99135,Rio de Janeiro,RS
CUST00117,UNIQ00117,45222,Salvador,RS
CUST00118,UNIQ00118,87373,Goiania,RJ
CUST00119,UNIQ00119,89575,Recife,MG
CUST00120,UNIQ00120,94651,Porto Alegre,SC
CUST00121,UNIQ00121,73335,Sao Paulo,BA
CUST00122,UNIQ00122,20965,Florianopolis,RJ
CUST00123,UNIQ00123,34538,Porto Alegre,BA
CUST00124,UNIQ00124,80592,Salvador,RJ
CUST00125,UNIQ00125,18110,Florianopolis,RJ
CUST00126,UNIQ00126,89309,Belo Horizonte,RJ
CUST00127,UNIQ00127,37266,Vitoria,MG
CUST00128,UNIQ00128,62992,Belo Horizonte,RJ
CUST00129,UNIQ00129,92948,Porto Alegre,PR
CUST00130,UNIQ00130,16910,Salvador,GO
CUST00131,UNIQ00131,10206,Goiania,BA
CUST00132,UNIQ00132,97054,Porto Alegre,SP
CUST00133,UNIQ00133,97897,Sao Paulo,PE
CUST00134,UNIQ00134,33419,Curitiba,SC
CUST00135,UNIQ00135,60636,Porto Alegre,ES
CUST00136,UNIQ00136,60015,Vitoria,MG
CUST00137,UNIQ00137,64268,Vitoria,SP
CUST00138,UNIQ00138,97939,Porto Alegre,RS
CUST00139,UNIQ00139,28141,Florianopolis,PR
CUST00140,UNIQ00140,90356,Curitiba,ES
CUST00141,UNIQ00141,81910,Sao Paulo,PE
CUST00142,UNIQ00142,66044,Porto Alegre,SP
CUST00143,UNIQ00143,77214,Florianopolis,ES
CUST00144,UNIQ00144,43827,Vitoria,SP
CUST00145,UNIQ00145,65820,Vitoria,PR
CUST00146,UNIQ00146,72623,Salvador,PE
CUST00147,UNIQ00147,91734,Porto Alegre,RS
CUST00148,UNIQ00148,85450,Curitiba,RJ
CUST00149,UNIQ00149,32299,Rio de Janeiro,BA
CUST00150,UNIQ00150,53585,Curitiba,RS
CUST00151,UNIQ00151,74044,,RJ
CUST00152,UNIQ00152,52557,Vitoria,MG
CUST00153,UNIQ00153,59080,Belo Horizonte,GO
CUST00154,UNIQ00154,12693,Vitoria,SC
CUST00155,UNIQ00155,79163,Sao Paulo,SC
CUST00156,UNIQ00156,35939,Recife,BA
CUST00157,UNIQ00157,58925,Porto Alegre,PE
CUST00158,UNIQ00158,52941,Curitiba,PR
CUST00159,UNIQ00159,31834,Recife,PE
CUST00160,UNIQ00160,28047,Florianopolis,PR
CUST00161,UNIQ00161,36105,Rio de Janeiro,PE
CUST00162,UNIQ00162,85766,Sao Paulo,GO
CUST00163,UNIQ00163,25707,Curitiba,MG
CUST00164,UNIQ00164,31976,Recife,MG
CUST00165,UNIQ00165,54262,Rio de Janeiro,RJ
CUST00166,UNIQ00166,33776,Belo Horizonte,ES
CUST00167,UNIQ00167,40080,Sao Paulo,MG
CUST00168,UNIQ00168,76842,Sao Paulo,MG
CUST00169,UNIQ00169,71373,Belo Horizonte,RS
CUST00170,UNIQ00170,16776,Porto Alegre,RS
CUST00171,UNIQ00171,65016,Belo Horizonte,RJ
CUST00172,UNIQ00172,19474,Sao Paulo,ES
CUST00173,UNIQ00173,68053,Sao Paulo,BA
CUST00174,UNIQ00174,31959,Recife,RS
CUST00175,UNIQ00175,15530,Vitoria,BA
CUST00176,UNIQ00176,13748,Rio de Janeiro,SP
CUST00177,UNIQ00177,23545,Belo Horizonte,RS
CUST00178,UNIQ00178,76199,Rio de Janeiro,GO
CUST00179,UNIQ00179,44766,Belo Horizonte,ES
CUST00180,UNIQ00180,83530,Florianopolis,RJ
CUST00181,UNIQ00181,71087,Sao Paulo,SP
CUST00182,UNIQ00182,78840,Vitoria,ES
CUST00183,UNIQ00183,64384,Recife,GO
CUST00184,UNIQ00184,61005,Vitoria,ES
CUST00185,UNIQ00185,56576,Vitoria,GO
CUST00186,UNIQ00186,49353,Vitoria,GO
CUST00187,UNIQ00187,72003,Rio de Janeiro,BA
CUST00188,UNIQ00188,93211,Belo Horizonte,PE
CUST00189,UNIQ00189,62733,Goiania,SP
CUST00190,UNIQ00190,75318,Florianopolis,ES
CUST00191,UNIQ00191,99474,Curitiba,PR
CUST00192,UNIQ00192,33664,Vitoria,SP
CUST00193,UNIQ00193,77172,Porto Alegre,PE
CUST00194,UNIQ00194,95616,Rio de Janeiro,SP
CUST00195,UNIQ00195,36736,Recife,MG
CUST00196,UNIQ00196,10854,Curitiba,PR
CUST00197,UNIQ00197,48623,Goiania,PE
CUST00198,UNIQ00198,17392,Porto Alegre,BA
CUST00199,UNIQ00199,65680,Goiania,ES
CUST00200,UNIQ00200,56717,Curitiba,SC
CUST00201,UNIQ00201,97092,Vitoria,PE
CUST00202,UNIQ00202,60859,Porto Alegre,RJ
CUST00203,UNIQ00203,36309,Goiania,ES
CUST00204,UNIQ00204,97455,Recife,PE
CUST00205,UNIQ00205,73734,Belo Horizonte,MG
CUST00206,UNIQ00206,80467,Sao Paulo,SC
CUST00207,UNIQ00207,62662,Belo Horizonte,MG
CUST00208,UNIQ00208,22688,Curitiba,SC
CUST00209,UNIQ00209,35342,Rio de Janeiro,RJ
CUST00210,UNIQ00210,47157,Sao Paulo,ES
CUST00211,UNIQ00211,77863,Florianopolis,BA
CUST00212,UNIQ00212,62083,Recife,MG
CUST00213,UNIQ00213,75733,Florianopolis,MG
CUST00214,UNIQ00214,99045,Porto Alegre,GO
CUST00215,UNIQ00215,44698,Sao Paulo,SC
CUST00216,UNIQ00216,90623,Florianopolis,RS
CUST00217,UNIQ00217,32671,Florianopolis,ES
CUST00218,UNIQ00218,35184,Goiania,SC
CUST00219,UNIQ00219,52107,Belo Horizonte,GO
CUST00220,UNIQ00220,96202,Goiania,SP
CUST00221,UNIQ00221,61663,Sao Paulo,SC
CUST00222,UNIQ00222,25708,Sao Paulo,BA
CUST00223,UNIQ00223,59811,Curitiba,ES
CUST00224,UNIQ00224,12811,Goiania,GO
CUST00225,UNIQ00225,66250,Salvador,SP
CUST00226,UNIQ00226,82082,Belo Horizonte,PR
CUST00227,UNIQ00227,44754,Sao Paulo,GO
CUST00228,UNIQ00228,21411,Curitiba,PR
CUST00229,UNIQ00229,12911,Goiania,ES
CUST00230,UNIQ00230,77270,Belo Horizonte,MG
CUST00231,UNIQ00231,93763,Goiania,GO
CUST00232,UNIQ00232,18680,Florianopolis,RJ
CUST00233,UNIQ00233,94896,Curitiba,PR
CUST00234,UNIQ00234,93879,Belo Horizonte,BA
CUST00235,UNIQ00235,81295,Vitoria,RJ
CUST00236,UNIQ00236,98614,Porto Alegre,PE
CUST00237,UNIQ00237,21111,Porto Alegre,PE
CUST00238,UNIQ00238,47504,Belo Horizonte,SP
CUST00239,UNIQ00239,11802,Goiania,MG
CUST00240,UNIQ00240,18155,Curitiba,ES
CUST00241,UNIQ00241,83656,Porto Alegre,GO
CUST00242,UNIQ00242,49384,Curitiba,RS
CUST00243,UNIQ00243,57254,Porto Alegre,BA
CUST00244,UNIQ00244,31918,Florianopolis,PR
CUST00245,UNIQ00245,95981,Goiania,ES
CUST00246,UNIQ00246,70713,Florianopolis,RJ
CUST00247,UNIQ00247,40306,Porto Alegre,PE
CUST00248,UNIQ00248,26646,Vitoria,BA
CUST00249,UNIQ00249,56843,Vitoria,RS
CUST00250,UNIQ00250,26371,Florianopolis,GO
CUST00251,UNIQ00251,87371,Vitoria,SP
CUST00252,UNIQ00252,12049,Porto Alegre,RS
CUST00253,UNIQ00253,41616,Belo Horizonte,BA
CUST00254,UNIQ00254,30932,Florianopolis,RS
CUST00255,UNIQ00255,39855,Rio de Janeiro,BA
CUST00256,UNIQ00256,71434,Goiania,BA
CUST00257,UNIQ00257,82694,Vitoria,SC
CUST00258,UNIQ00258,53016,Vitoria,PR
CUST00259,UNIQ00259,17400,Sao Paulo,PE
CUST00260,UNIQ00260,52642,Salvador,SC
CUST00261,UNIQ00261,25151,Florianopolis,GO
CUST00262,UNIQ00262,61407,Recife,SC
CUST00263,UNIQ00263,76690,Vitoria,MG
CUST00264,UNIQ00264,14499,Goiania,MG
CUST00265,UNIQ00265,16295,Rio de Janeiro,PE
CUST00266,UNIQ00266,69040,Vitoria,RS
CUST00267,UNIQ00267,22183,Rio de Janeiro,PR
CUST00268,UNIQ00268,39299,Porto Alegre,PE
CUST00269,UNIQ00269,22874,Porto Alegre,BA
CUST00270,UNIQ00270,42711,Salvador,RJ
CUST00271,UNIQ00271,15539,Belo Horizonte,PR
CUST00272,UNIQ00272,63351,Recife,PR
CUST00273,UNIQ00273,71267,Sao Paulo,BA
CUST00274,UNIQ00274,58354,Salvador,BA
CUST00275,UNIQ00275,12557,Curitiba,SP
CUST00276,UNIQ00276,48360,Sao Paulo,PE
CUST00277,UNIQ00277,92018,Florianopolis,BA
CUST00278,UNIQ00278,12200,Goiania,MG
CUST00279,UNIQ00279,78497,Curitiba,GO
CUST00280,UNIQ00280,56975,Curitiba,RJ
CUST00281,UNIQ00281,31357,Salvador,PE
CUST00282,UNIQ00282,87505,Belo Horizonte,ES
CUST00283,UNIQ00283,12869,Salvador,MG
CUST00284,UNIQ00284,71135,Florianopolis,RS
CUST00285,UNIQ00285,60108,Vitoria,BA
CUST00286,UNIQ00286,48467,Vitoria,ES
CUST00287,UNIQ00287,33328,Belo Horizonte,BA
CUST00288,UNIQ00288,96831,Florianopolis,PR
CUST00289,UNIQ00289,13987,Belo Horizonte,MG
CUST00290,UNIQ00290,68871,Rio de Janeiro,PR
CUST00291,UNIQ00291,32399,Vitoria,SP
CUST00292,UNIQ00292,56214,Curitiba,PR
CUST00293,UNIQ00293,96416,Recife,SP
CUST00294,UNIQ00294,80271,Goiania,SP
CUST00295,UNIQ00295,54064,Florianopolis,ES
CUST00296,UNIQ00296,80091,Sao Paulo,BA
CUST00297,UNIQ00297,50818,Belo Horizonte,RS
CUST00298,UNIQ00298,55525,Goiania,PR
CUST00299,UNIQ00299,29830,Sao Paulo,MG
CUST00300,UNIQ00300,27429,Goiania,SP
CUST00008,UNIQ00008,97498,Sao Paulo,BA
CUST00045,UNIQ00045,18792,Vitoria,RS
