review_id,order_id,review_score,review_creation_date
REV000076,ORD000093,1,2025-10-12
REV000077,ORD000094,4,2025-12-15
REV000078,ORD000095,3,2025-10-02
REV000079,ORD000097,4,2025-08-07
REV000080,ORD000098,5,2025-10-19
REV000081,ORD000099,5,2025-05-15
REV000082,ORD000100,2,2025-07-16
REV000083,ORD000101,4,2025-05-03
REV000084,ORD000103,2,2025-01-09
REV000085,ORD000105,3,2025-12-17
REV000086,ORD000107,3,2025-02-14
REV000087,ORD000108,2,2025-10-06
REV000088,ORD000109,3,2025-06-23
REV000089,ORD000110,5,2025-07-23
REV000090,ORD000111,1,2025-11-13
REV000091,ORD000112,3,2025-07-06
REV000092,ORD000114,3,2025-12-05
REV000093,ORD000115,3,2025-12-02
REV000094,ORD000116,5,2025-01-08
REV000095,ORD000120,1,2025-06-08
REV000096,ORD000121,5,2025-12-06
REV000097,ORD000123,3,2025-05-17
REV000098,ORD000124,2,2025-08-17
REV000099,ORD000125,4,2025-01-10
REV000100,ORD000127,4,2025-01-06
REV000101,ORD000129,4,2025-01-20
REV000102,ORD000131,3,2025-09-04
REV000103,ORD000132,5,2025-04-23
REV000104,ORD000133,4,2025-01-31
REV000105,ORD000136,5,2025-02-11
REV000106,ORD000138,3,2025-11-10
REV000107,ORD000142,5,2025-06-11
REV000108,ORD000143,1,2025-08-15
REV000109,ORD000144,2,2025-05-14
REV000110,ORD000145,3,2025-05-14
REV000111,ORD000147,4,2025-03-08
REV000112,ORD000148,2,2025-11-20
REV000113,ORD000149,2,2025-03-18
REV000114,ORD000150,5,2025-12-03
REV000115,ORD000151,1,2025-05-01
REV000116,ORD000152,1,2025-12-03
REV000117,ORD000153,1,2025-04-06
REV000118,ORD000154,5,2025-08-15
REV000119,ORD000155,5,2025-06-13
REV000120,ORD000156,1,2025-10-12
REV000121,ORD000157,2,2025-02-02
REV000122,ORD000159,3,2025-05-13
REV000123,ORD000160,1,2025-12-15
REV000124,ORD000161,3,2025-10-05
REV000125,ORD000162,1,2025-11-05
REV000126,ORD000165,2,2025-06-30
REV000127,ORD000169,1,2025-02-10
REV000128,ORD000170,5,2025-08-17
REV000129,ORD000171,1,2025-09-20
REV000130,ORD000173,1,2025-05-03
REV000131,ORD000174,2,2025-06-17
REV000132,ORD000175,5,2025-07-11
REV000133,ORD000176,4,2025-02-07
REV000134,ORD000177,4,2025-05-26
REV000135,ORD000178,2,2025-01-14
REV000136,ORD000179,3,2025-11-08
REV000137,ORD000181,3,2025-06-22
REV000138,ORD000182,4,2025-12-01
REV000139,ORD000183,3,2025-08-30
REV000140,ORD000184,3,2025-11-16
REV000141,ORD000185,1,2025-03-25
REV000142,ORD000186,3,2025-01-24
REV000143,ORD000188,3,2025-03-19
REV000144,ORD000189,5,2025-01-15
REV000145,ORD000190,1,2025-11-09
REV000146,ORD000191,2,2025-06-11
REV000147,ORD000192,5,2025-09-19
REV000148,ORD000193,5,2026-01-01
REV000149,ORD000194,3,2025-04-22
REV000150,ORD000195,4,2025-10-27
REV000151,ORD000197,1,2025-12-04
REV000152,ORD000200,2,2025-07-16
REV000153,ORD000202,1,2025-02-10
REV000154,ORD000203,2,2025-10-18
REV000155,ORD000204,5,2025-10-23
REV000156,ORD000205,5,2025-08-04
REV000157,ORD000206,5,2025-03-05
REV000158,ORD000208,5,2025-01-28
REV000159,ORD000209,5,2025-08-31
REV000160,ORD000210,5,2025-09-25
REV000161,ORD000211,4,2025-06-13
REV000162,ORD000212,3,2025-04-11
REV000163,ORD000213,5,2025-06-01
REV000164,ORD000215,2,2025-06-19
REV000165,ORD000216,2,2025-07-06
REV000166,ORD000217,2,2025-08-23
REV000167,ORD000218,3,2025-03-02
REV000168,ORD000219,2,2025-08-17
REV000169,ORD000223,4,2025-07-06
REV000170,ORD000224,1,2025-07-01
REV000171,ORD000225,5,2025-09-17
REV000172,ORD000227,1,2025-07-06
REV000173,ORD000228,4,2025-11-07
REV000174,ORD000229,2,2025-08-19
REV000175,ORD000230,4,2025-04-29
REV000176,ORD000231,5,2025-03-07
REV000177,ORD000233,5,2025-05-07
REV000178,ORD000234,4,2025-12-13
REV000179,ORD000235,5,2025-12-08
REV000180,ORD000236,2,2025-11-08
REV000181,ORD000237,3,2025-05-28
REV000182,ORD000238,3,2025-06-11
REV000183,ORD000239,1,2025-02-12
REV000184,ORD000240,4,2025-08-05
REV000185,ORD000241,5,2025-03-18
REV000186,ORD000242,5,2025-09-12
REV000187,ORD000243,2,2025-04-04
REV000188,ORD000244,4,2025-01-09
REV000189,ORD000245,2,2025-03-04
REV000190,ORD000246,4,2025-05-16
REV000191,ORD000247,5,2026-01-01
REV000192,ORD000248,4,2025-02-22
REV000193,ORD000249,2,2025-01-19
REV000194,ORD000254,4,2025-01-14
REV000195,ORD000255,2,2025-02-08
REV000196,ORD000256,2,2025-09-22
REV000197,ORD000257,5,2025-07-19
REV000198,ORD000258,4,2025-07-02
REV000199,ORD000259,2,2025-07-26
REV000200,ORD000260,5,2025-05-05
REV000201,ORD000263,3,2025-03-03
REV000202,ORD000264,3,2025-06-23
REV000203,ORD000265,5,2025-11-09
REV000204,ORD000266,5,2025-02-26
REV000205,ORD000267,1,2025-02-08
REV000206,ORD000268,3,2025-08-19
REV000207,ORD000269,4,2025-11-20
REV000208,ORD000271,4,2025-08-13
REV000209,ORD000272,3,2025-09-03
REV000210,ORD000273,2,2025-04-05
REV000211,ORD000276,5,2025-09-19
REV000212,ORD000277,1,2025-03-20
REV000213,ORD000278,1,2025-11-01
REV000214,ORD000279,5,2025-07-10
REV000215,ORD000282,4,2025-07-15
REV000216,ORD000283,3,2025-08-14
REV000217,ORD000284,2,2025-09-19
REV000218,ORD000285,5,2025-05-25
REV000219,ORD000286,1,2025-04-30
REV000220,ORD000287,3,2025-09-11
REV000221,ORD000288,3,2025-01-26
REV000222,ORD000289,5,2025-09-24
REV000223,ORD000290,5,2025-10-25
REV000224,ORD000292,5,2025-08-08
REV000225,ORD000293,3,2025-06-16
REV000226,ORD000294,4,2025-06-14
REV000227,ORD000295,2,2025-03-16
REV000228,ORD000297,1,2025-04-19
REV000229,ORD000298,4,2025-09-24
REV000230,ORD000299,3,2025-10-23
REV000231,ORD000300,5,2025-06-11
REV000232,ORD000301,1,2025-06-28
REV000233,ORD000302,3,2025-03-27
REV000234,ORD000303,1,2025-05-29
REV000235,ORD000304,3,2025-09-08
REV000236,ORD000305,4,2025-04-26
REV000237,ORD000306,2,2025-05-29
REV000238,ORD000309,3,2025-11-08
REV000239,ORD000310,1,2025-04-30
REV000240,ORD000311,3,2025-03-15
REV000241,ORD000313,1,2025-04-17
REV000242,ORD000314,5,2025-09-19
REV000243,ORD000315,2,2025-01-16
REV000244,ORD000316,5,2025-01-22
REV000245,ORD000317,5,2025-10-04
REV000246,ORD000318,2,2025-01-05
REV000247,ORD000319,4,2025-01-15
REV000248,ORD000320,3,2025-04-16
REV000249,ORD000322,3,2025-10-21
REV000250,ORD000323,4,2025-08-17
REV000251,ORD000325,5,2025-03-07
REV000252,ORD000326,4,2025-06-02
REV000253,ORD000327,1,2025-12-29
REV000254,ORD000328,1,2025-08-17
REV000255,ORD000329,4,2025-09-11
REV000256,ORD000330,3,2025-02-15
REV000257,ORD000331,2,2025-05-24
REV000258,ORD000332,1,2025-07-02
REV000259,ORD000333,1,2025-04-25
REV000260,ORD000335,1,2025-06-18
REV000261,ORD000336,2,2025-09-18
REV000262,ORD000338,3,2025-05-23
REV000263,ORD000339,4,2025-11-20
REV000264,ORD000340,5,2025-12-12
REV000265,ORD000341,1,2025-12-29
REV000266,ORD000342,3,2025-01-21
REV000267,ORD000344,4,2025-02-22
REV000268,ORD000345,5,2025-06-13
REV000269,ORD000347,2,2025-10-14
REV000270,ORD000351,1,2025-11-22
REV000271,ORD000352,1,2025-05-07
REV000272,ORD000353,2,2025-10-29
REV000273,ORD000354,4,2025-04-24
REV000274,ORD000356,2,2025-05-17
REV000275,ORD000357,4,2025-03-20
REV000276,ORD000358,4,2025-04-07
REV000277,ORD000359,4,2025-05-26
REV000278,ORD000360,2,2025-04-13
REV000279,ORD000362,1,2025-09-23
REV000280,ORD000363,2,2025-01-03
REV000281,ORD000365,4,2025-02-05
REV000282,ORD000367,4,2025-10-14
REV000283,ORD000368,5,2025-04-18
REV000284,ORD000369,2,2025-01-21
REV000285,ORD000372,4,2025-12-20
REV000286,ORD000373,3,2025-11-12
REV000287,ORD000375,4,2025-11-21
REV000288,ORD000376,5,2025-05-02
REV000289,ORD000378,3,2025-09-06
REV000290,ORD000380,5,2025-12-04
REV000291,ORD000381,2,2025-06-04
REV000292,ORD000382,2,2025-05-31
REV000293,ORD000383,4,2025-09-09
REV000294,ORD000384,4,2025-11-04
REV000295,ORD000386,3,2025-10-07
REV000296,ORD000387,4,2025-06-02
REV000297,ORD000389,1,2025-04-24
REV000298,ORD000390,1,2025-05-29
REV000299,ORD000391,4,2025-08-18
REV000300,ORD000392,3,2025-05-08
REV000301,ORD000394,4,2025-03-02
REV000302,ORD000396,2,2025-08-27
REV000303,ORD000397,3,2025-12-06
REV000304,ORD000398,1,2025-06-28
REV000305,ORD000400,4,2025-12-28
REV000306,ORD000401,2,2025-09-06
REV000307,ORD000402,4,2025-11-05
REV000308,ORD000403,4,2025-12-19
REV000309,ORD000404,2,2025-01-16
REV000310,ORD000405,3,2025-05-19
REV000311,ORD000409,5,2025-04-22
REV000312,ORD000410,4,2025-02-02
REV000313,ORD000411,5,2025-06-16
REV000314,ORD000414,3,2025-12-13
REV000315,ORD000415,3,2025-07-31
REV000316,ORD000416,4,2025-08-16
REV000317,ORD000418,4,2025-07-25
REV000318,ORD000420,3,2025-01-29
REV000319,ORD000423,3,2025-09-07
REV000320,ORD000424,2,2025-06-24
REV000321,ORD000425,1,2025-06-08
REV000322,ORD000426,4,2025-07-30
REV000323,ORD000429,2,2025-10-22
REV000324,ORD000430,2,2025-10-03
REV000325,ORD000434,2,2025-11-18
REV000326,ORD000435,1,2025-11-12
REV000327,ORD000438,5,2025-06-19
REV000328,ORD000439,2,2025-11-07
REV000329,ORD000440,5,2025-01-12
REV000330,ORD000442,1,2025-07-15
REV000331,ORD000443,1,2025-12-28
REV000332,ORD000444,3,2025-07-01
REV000333,ORD000445,5,2025-02-03
REV000334,ORD000446,1,2025-09-24
REV000335,ORD000448,2,2025-07-06
REV000336,ORD000449,5,2025-04-13
REV000337,ORD000452,2,2025-10-03
REV000338,ORD000456,4,2025-04-29
REV000339,ORD000457,3,2025-03-25
REV000340,ORD000458,3,2025-06-20
REV000341,ORD000459,4,2025-04-22
REV000342,ORD000460,5,2025-05-09
REV000343,ORD000461,1,2025-01-20
REV000344,ORD000465,1,2025-09-28
REV000345,ORD000466,1,2025-09-15
REV000346,ORD000467,4,2025-09-07
REV000347,ORD000468,1,2025-03-23
REV000348,ORD000470,3,2025-06-05
REV000349,ORD000472,1,2025-04-29
REV000350,ORD000474,2,2025-01-19
REV000351,ORD000476,3,2025-03-06
REV000352,ORD000478,4,2025-12-03
REV000353,ORD000479,4,2025-03-10
REV000354,ORD000481,3,2025-02-14
REV000355,ORD000482,1,2025-02-08
REV000356,ORD000483,5,2025-12-28
REV000357,ORD000484,4,2025-01-12
REV000358,ORD000485,1,2025-10-06
REV000359,ORD000486,5,2025-03-20
REV000360,ORD000487,1,2025-10-30
REV000361,ORD000488,4,2025-04-11
REV000362,ORD000489,5,2025-06-10
REV000363,ORD000490,3,2025-08-07
REV000364,ORD000492,5,2025-01-13
REV000365,ORD000493,3,2025-05-22
REV000366,ORD000494,4,2025-04-15
REV000367,ORD000495,1,2025-05-17
REV000368,ORD000498,5,2025-08-31
REV000369,ORD000499,4,2025-05-31
REV000370,ORD000500,4,2025-02-18
REV000371,ORD000502,2,2025-07-29
REV000372,ORD000504,5,2025-05-24
REV000373,ORD000505,4,2025-05-27
REV000374,ORD000506,5,2025-09-18
REV000375,ORD000507,2,2025-07-16
REV000376,ORD000508,1,2025-09-13
REV000377,ORD000509,4,2025-07-11
REV000378,ORD000510,5,2025-02-26
REV000379,ORD000511,4,2025-04-26
REV000380,ORD000513,5,2025-01-14
REV000381,ORD000517,4,2025-04-30
REV000382,ORD000518,4,2025-07-10
REV000383,ORD000519,4,2025-10-17
REV000384,ORD000520,1,2025-11-27
REV000385,ORD000522,3,2025-06-21
REV000386,ORD000523,2,2025-11-20
REV000387,ORD000524,1,2025-02-19
REV000388,ORD000525,5,2025-03-29
REV000389,ORD000527,2,2025-09-09
REV000390,ORD000528,5,2025-05-09
REV000391,ORD000529,1,2025-03-15
REV000392,ORD000530,4,2025-11-13
REV000393,ORD000532,4,2025-09-26
REV000394,ORD000533,5,2025-05-01
REV000395,ORD000534,1,2025-09-11
REV000396,ORD000535,3,2025-07-31
REV000397,ORD000536,3,2025-06-23
REV000398,ORD000537,2,2025-01-20
REV000399,ORD000539,3,2025-12-20
REV000400,ORD000541,5,2025-11-04
REV000401,ORD000542,4,2025-01-04
REV000402,ORD000543,3,2025-12-21
REV000403,ORD000544,2,2025-10-16
REV000404,ORD000545,4,2025-10-08
REV000405,ORD000547,4,2025-06-11
REV000406,ORD000548,2,2025-06-15
REV000407,ORD000549,4,2025-12-30
REV000408,ORD000550,4,2025-09-22
REV000409,ORD000551,5,2025-02-12
REV000410,ORD000552,1,2025-08-07
REV000411,ORD000553,1,2025-07-13
REV000412,ORD000554,2,2025-01-08
REV000413,ORD000555,2,2025-09-25
REV000414,ORD000556,1,2025-03-28
REV000415,ORD000557,2,2025-08-14
REV000416,ORD000558,1,2025-01-21
REV000417,ORD000559,4,2025-09-12
REV000418,ORD000560,2,2025-11-18
REV000419,ORD000563,5,2025-09-08
REV000420,ORD000564,2,2025-10-09
REV000421,ORD000565,4,2025-07-25
REV000422,ORD000566,1,2025-06-02
REV000423,ORD000567,1,2025-08-12
REV000424,ORD000568,3,2025-12-14
REV000425,ORD000569,3,2025-09-26
REV000426,ORD000570,3,2025-11-12
REV000427,ORD000571,3,2025-10-17
REV000428,ORD000572,2,2025-03-15
REV000429,ORD000573,3,2025-09-26
REV000430,ORD000574,2,2025-11-12
REV000431,ORD000575,3,2025-09-24
REV000432,ORD000576,5,2025-05-10
REV000433,ORD000577,4,2025-08-26
REV000434,ORD000578,2,2025-06-20
REV000435,ORD000579,2,2025-03-27
REV000436,ORD000581,5,2025-09-01
REV000437,ORD000582,1,2025-06-13
REV000438,ORD000583,4,2025-04-03
REV000439,ORD000585,2,2025-08-30
REV000440,ORD000586,1,2025-01-04
REV000441,ORD000587,3,2025-12-27
REV000442,ORD000588,2,2025-04-14
REV000443,ORD000589,1,2025-10-04
REV000444,ORD000590,4,2025-06-20
REV000445,ORD000591,1,2025-02-02
REV000446,ORD000592,5,2025-08-29
REV000447,ORD000593,5,2025-03-23
REV000448,ORD000594,1,2025-06-30
REV000449,ORD000595,5,2025-04-27
REV000450,ORD000598,3,2025-11-19
REV000451,ORD000599,1,2025-04-10
REV000452,ORD000600,3,2025-05-27
