order_id,order_item_id,product_id,seller_id,price,freight_value
ORD000187,3,PROD00080,SELL0043,$407.81,58.49
ORD000351,3,PROD00119,SELL0030,$892.04,19.93
ORD000395,1,PROD00017,SELL0007,$315.49,69.05
ORD000517,1,PROD00088,SELL0027,$914.18,15.84
ORD000040,3,PROD00113,SELL0051,$762.44,11.17
ORD000494,3,PROD00085,SELL0009,$815.84,2.09
ORD000442,2,PROD00067,SELL0027,$1314.11,56.42
ORD000440,2,PROD00030,SELL0052,$1187.49,31.74
ORD000590,1,PROD00013,SELL0028,$392.96,61.74
ORD000086,3,PROD00037,SELL0039,$621.84,16.74
ORD000008,1,PROD00074,SELL0034,$786.85,31.25
ORD000211,2,PROD00089,SELL0052,$622.13,10.31
ORD000437,2,PROD00084,SELL0038,$403.03,43.82
ORD000579,2,PROD00047,SELL0040,$1487.82,33.0
ORD000209,3,PROD00053,SELL0036,$731.46,30.88
ORD000569,2,PROD00062,SELL0017,$872.81,62.39
ORD000408,3,PROD00095,SELL0009,$191.84,19.92
ORD000166,3,PROD00013,SELL0014,$609.83,28.4
ORD000564,3,PROD00079,SELL0045,$1064.58,14.54
ORD000006,1,PROD00103,SELL0006,$715.43,48.82
ORD000091,1,PROD00009,SELL0017,$565.69,49.5
ORD000394,3,PROD00120,SELL0026,$989.42,24.34
ORD000059,1,PROD00100,SELL0053,$965.83,36.24
ORD000207,3,PROD00109,SELL0043,$439.72,4.62
ORD000523,1,PROD00067,SELL0045,$928.56,54.57
ORD000369,1,PROD00031,SELL0042,$1463.83,8.77
ORD000283,2,PROD00100,SELL0026,$1009.45,33.63
ORD000206,3,PROD00067,SELL0001,$1059.88,73.7
ORD000563,3,PROD00037,SELL0047,$1373.79,29.15
ORD000284,1,PROD00029,SELL0039,$690.32,33.51
ORD000005,2,PROD00034,SELL0012,$766.76,45.57
ORD000516,1,PROD00038,SELL0022,$1207.37,76.62
ORD000551,3,PROD00105,SELL0051,$386.46,36.54
ORD000387,1,PROD00073,SELL0031,$1139.85,76.98
ORD000470,3,PROD00088,SELL0030,$1295.10,39.59
ORD000265,3,PROD00009,SELL0025,$1186.15,19.19
ORD000236,2,PROD00103,SELL0021,$1433.84,42.29
ORD000010,2,PROD00090,SELL0054,$383.66,9.25
ORD000351,1,PROD00010,SELL0036,$722.68,29.58
ORD000588,3,PROD00035,SELL0012,$1029.41,72.97
ORD000511,1,PROD00095,SELL0013,$1107.11,70.07
ORD000212,1,PROD00030,SELL0013,$1256.96,29.77
ORD000110,1,PROD00016,SELL0059,$1018.58,53.75
ORD000007,3,PROD00098,SELL0055,$1437.62,68.14
ORD000381,2,PROD00080,SELL0021,$1348.71,70.72
ORD000589,2,PROD00112,SELL0018,$286.56,61.61
ORD000524,1,PROD00036,SELL0026,$1129.00,12.0
ORD000539,2,PROD00103,SELL0028,$1410.39,4.54
ORD000356,3,PROD00051,SELL0056,$1167.22,37.66
ORD000124,2,PROD00090,SELL0034,$483.74,2.66
ORD000216,1,PROD00049,SELL0038,$498.27,49.8
ORD000266,2,PROD00024,SELL0036,$367.15,38.76
ORD000352,2,PROD00047,SELL0012,$644.56,34.69
ORD000382,2,PROD00047,SELL0055,$430.25,16.03
ORD000135,1,PROD00074,SELL0044,$1224.07,58.22
ORD000242,2,PROD00072,SELL0028,$306.15,64.4
ORD000154,1,PROD00061,SELL0052,$277.26,40.97
ORD000530,2,PROD00069,SELL0047,$1181.22,25.4
ORD000576,1,PROD00110,SELL0037,$606.63,55.86
ORD000062,2,PROD00028,SELL0053,$722.66,51.13
ORD000461,2,PROD00096,SELL0022,$551.03,45.71
ORD000264,2,PROD00045,SELL0002,$195.04,69.65
ORD000204,3,PROD00074,SELL0037,$978.96,15.61
ORD000292,3,PROD00046,SELL0021,$773.01,62.43
ORD000458,2,PROD00114,SELL0006,$926.29,38.17
ORD000149,3,PROD00112,SELL0011,$1214.46,28.32
ORD000586,1,PROD00052,SELL0055,$132.48,28.8
ORD000322,2,PROD00041,SELL0042,$1069.99,49.22
ORD000405,2,PROD00035,SELL0057,$1174.75,75.22
ORD000534,1,PROD00058,SELL0027,$288.07,3.8
ORD000241,3,PROD00085,SELL0017,$1055.53,8.25
ORD000171,1,PROD00051,SELL0007,$109.73,70.54
ORD000562,2,PROD00007,SELL0002,$793.11,79.69
ORD000107,1,PROD00034,SELL0040,$140.20,74.66
ORD000400,1,PROD00040,SELL0015,$1110.33,36.57
ORD000130,1,PROD00017,SELL0034,$57.43,53.76
ORD000334,2,PROD00111,SELL0031,$1462.85,44.17
ORD000279,1,PROD00071,SELL0029,$1454.77,56.41
ORD000182,2,PROD00076,SELL0039,$952.11,51.6
ORD000578,3,PROD00056,SELL0034,$964.70,26.15
ORD000356,1,PROD00062,SELL0035,$1209.99,36.47
ORD000375,1,PROD00053,SELL0017,$465.81,2.01
ORD000140,2,PROD00045,SELL0019,$809.62,55.65
ORD000504,2,PROD00097,SELL0031,$28.56,35.57
ORD000300,1,PROD00077,SELL0015,$829.10,16.71
ORD000575,1,PROD00056,SELL0026,$257.46,59.5
ORD000400,1,PROD00107,SELL0025,$405.53,34.93
ORD000246,3,PROD00067,SELL0049,$1214.25,55.4
ORD000292,3,PROD00084,SELL0048,$1216.08,34.21
ORD000071,2,PROD00024,SELL0009,$178.88,37.52
ORD000464,3,PROD00035,SELL0045,$745.61,27.01
ORD000156,1,PROD00007,SELL0035,$291.12,9.98
ORD000276,2,PROD00017,SELL0046,$1094.75,20.16
ORD000155,1,PROD00002,SELL0032,$522.74,26.3
ORD000511,3,PROD00048,SELL0030,$1190.27,27.76
ORD000150,2,PROD00008,SELL0018,$121.01,38.67
ORD000197,2,PROD00115,SELL0054,$1228.62,66.6
ORD000125,1,PROD00099,SELL0046,$586.42,78.05
ORD000254,1,PROD00095,SELL0003,$699.34,62.14
ORD000534,2,PROD00086,SELL0014,$592.85,76.97
ORD000331,3,PROD00021,SELL0041,$77.65,75.12
ORD000534,2,PROD00016,SELL0017,$963.20,17.5
ORD000054,1,PROD00111,SELL0043,$1460.31,20.41
ORD000445,1,PROD00042,SELL0001,$1194.67,47.61
ORD000406,1,PROD00102,SELL0016,$1453.72,47.32
ORD000487,1,PROD00089,SELL0039,$566.53,8.98
ORD000162,3,PROD00064,SELL0006,$933.69,74.61
ORD000062,3,PROD00008,SELL0023,$243.57,43.84
ORD000110,1,PROD00017,SELL0032,$485.36,45.55
ORD000356,2,PROD00104,SELL0058,$1103.79,3.67
ORD000387,1,PROD00046,SELL0047,$387.28,5.08
ORD000449,3,PROD00072,SELL0019,$1050.10,16.8
ORD000192,2,PROD00070,SELL0023,$1102.62,23.48
ORD000568,3,PROD00021,SELL0005,$245.21,25.06
ORD000270,2,PROD00070,SELL0024,$16.07,51.77
ORD000389,1,PROD00094,SELL0012,$935.31,30.4
ORD000245,1,PROD00042,SELL0047,$992.56,44.04
ORD000397,3,PROD00025,SELL0034,$753.86,45.01
ORD000290,3,PROD00042,SELL0027,$493.21,9.51
ORD000069,1,PROD00006,SELL0054,$280.28,4.44
ORD000110,1,PROD00063,SELL0013,$62.25,52.06
ORD000398,3,PROD00085,SELL0032,$941.60,48.04
ORD000051,3,PROD00047,SELL0015,$1081.00,3.02
ORD000214,1,PROD00084,SELL0032,$710.07,51.84
ORD000370,2,PROD00072,SELL0048,$1235.71,63.95
ORD000060,2,PROD00106,SELL0040,$800.60,59.28
ORD000312,3,PROD00010,SELL0014,$159.22,58.56
ORD000545,1,PROD00050,SELL0013,$796.40,21.4
ORD000184,3,PROD00072,SELL0048,$631.55,10.23
ORD000591,2,PROD00046,SELL0044,$1058.29,35.31
ORD000107,1,PROD00022,SELL0051,$831.70,41.37
ORD000162,2,PROD00069,SELL0039,$1401.28,72.39
ORD000564,2,PROD00042,SELL0055,$627.33,51.39
ORD000332,3,PROD00078,SELL0016,$825.25,31.25
ORD000564,2,PROD00119,SELL0048,$549.61,37.29
ORD000407,1,PROD00001,SELL0047,$1474.69,48.47
ORD000531,2,PROD00018,SELL0057,$24.75,78.78
ORD000220,1,PROD00110,SELL0021,$1160.71,75.58
ORD000283,3,PROD00118,SELL0036,$841.14,74.22
ORD000159,2,PROD00013,SELL0003,$543.15,12.8
ORD000376,1,PROD00114,SELL0038,$361.00,65.26
ORD000095,3,PROD00074,SELL0026,$1378.05,59.27
ORD000333,1,PROD00102,SELL0031,$740.09,72.12
ORD000591,1,PROD00105,SELL0059,$898.92,25.43
ORD000591,1,PROD00049,SELL0006,$1383.98,28.08
ORD000445,1,PROD00054,SELL0060,$1306.63,19.68
ORD000012,3,PROD00082,SELL0050,$582.99,25.77
ORD000043,3,PROD00041,SELL0035,$237.13,41.19
ORD000227,3,PROD00020,SELL0004,$1101.39,32.64
ORD000457,3,PROD00097,SELL0039,$764.52,19.32
ORD000297,1,PROD00101,SELL0026,$211.30,8.44
ORD000586,3,PROD00096,SELL0004,$607.80,8.64
ORD000514,3,PROD00056,SELL0050,$208.61,12.52
ORD000573,2,PROD00026,SELL0032,$983.59,17.3
ORD000537,1,PROD00032,SELL0016,$410.39,35.55
ORD000590,3,PROD00012,SELL0008,$629.17,30.49
ORD000196,3,PROD00042,SELL0023,$988.28,62.04
ORD000174,2,PROD00045,SELL0040,$940.43,36.36
ORD000240,2,PROD00026,SELL0044,$246.65,58.82
ORD000088,1,PROD00015,SELL0048,$375.93,50.44
ORD000152,2,PROD00112,SELL0054,$35.39,56.12
ORD000114,2,PROD00040,SELL0029,$48.78,18.3
ORD000551,3,PROD00028,SELL0014,$792.05,22.18
ORD000495,1,PROD00080,SELL0047,$1047.18,54.12
ORD000386,3,PROD00075,SELL0058,$797.30,21.93
ORD000062,3,PROD00037,SELL0013,$932.68,6.14
ORD000009,3,PROD00009,SELL0025,$417.90,68.46
ORD000369,1,PROD00111,SELL0007,$449.36,70.91
ORD000396,3,PROD00030,SELL0025,$1465.27,9.77
ORD000324,3,PROD00063,SELL0056,$804.37,16.54
ORD000513,3,PROD00059,SELL0036,$46.91,21.3
ORD000543,2,PROD00040,SELL0022,$599.20,14.25
ORD000356,2,PROD00088,SELL0023,$943.47,20.42
ORD000514,1,PROD00036,SELL0052,$944.30,70.54
ORD000031,1,PROD00072,SELL0018,$240.29,71.98
ORD000141,2,PROD00012,SELL0047,$788.27,54.88
ORD000233,3,PROD00054,SELL0016,$241.83,77.7
ORD000338,1,PROD00058,SELL0035,$322.03,12.81
ORD000555,1,PROD00088,SELL0052,$1295.94,26.1
ORD000537,2,PROD00117,SELL0009,$1493.59,78.11
ORD000149,3,PROD00084,SELL0060,$1376.91,26.76
ORD000571,1,PROD00069,SELL0047,$288.44,67.48
ORD000150,2,PROD00094,SELL0002,$1322.00,34.3
ORD000422,3,PROD00039,SELL0029,$1401.65,71.74
ORD000281,1,PROD00020,SELL0050,$173.56,16.41
ORD000274,3,PROD00078,SELL0037,$357.90,20.11
ORD000027,3,PROD00046,SELL0006,$1173.04,12.46
ORD000481,2,PROD00092,SELL0042,$288.21,32.22
ORD000486,1,PROD00018,SELL0011,$351.02,33.87
ORD000016,2,PROD00119,SELL0018,$345.49,54.36
ORD000208,1,PROD00097,SELL0014,$277.96,76.47
ORD000450,2,PROD00111,SELL0040,$1036.48,69.61
ORD000253,1,PROD00055,SELL0026,$917.78,66.3
ORD000321,3,PROD00051,SELL0040,$864.32,43.82
ORD000040,2,PROD00067,SELL0007,$693.50,70.47
ORD000252,2,PROD00067,SELL0035,$1475.99,5.06
ORD000397,3,PROD00067,SELL0049,$1444.45,16.81
ORD000451,2,PROD00051,SELL0057,$1163.91,24.3
ORD000171,3,PROD00055,SELL0019,$1379.76,55.82
ORD000146,3,PROD00060,SELL0054,$685.77,58.37
ORD000116,3,PROD00024,SELL0050,$1407.70,56.3
ORD000139,2,PROD00051,SELL0027,$684.57,15.95
ORD000207,1,PROD00113,SELL0030,$386.37,55.95
ORD000168,1,PROD00092,SELL0047,$150.42,57.09
ORD000372,3,PROD00011,SELL0034,$585.37,63.7
ORD000524,2,PROD00079,SELL0011,$832.26,5.42
ORD000175,3,PROD00117,SELL0022,$1308.89,69.29
ORD000167,1,PROD00112,SELL0010,$1157.20,6.0
ORD000316,2,PROD00040,SELL0047,$443.84,16.09
ORD000135,3,PROD00026,SELL0001,$1151.61,2.95
ORD000510,3,PROD00110,SELL0032,$1214.07,49.42
ORD000506,3,PROD00031,SELL0014,$994.31,37.39
ORD000453,3,PROD00011,SELL0039,$24.76,70.81
ORD000285,3,PROD00080,SELL0041,$1232.88,18.2
ORD000190,3,PROD00019,SELL0004,$533.29,13.34
ORD000034,3,PROD00086,SELL0037,$458.19,73.79
ORD000051,1,PROD00014,SELL0027,$254.58,24.18
ORD000587,1,PROD00101,SELL0036,$1449.95,60.45
ORD000369,1,PROD00120,SELL0003,$1156.24,27.18
ORD000389,2,PROD00105,SELL0005,$1267.31,7.06
ORD000483,3,PROD00018,SELL0008,$1291.22,27.68
ORD000424,3,PROD00068,SELL0014,$325.44,6.54
ORD000586,3,PROD00094,SELL0041,$1480.98,39.73
ORD000295,2,PROD00055,SELL0039,$400.60,46.86
ORD000363,3,PROD00119,SELL0009,$850.51,42.54
ORD000510,1,PROD00064,SELL0052,$1327.24,20.15
ORD000298,1,PROD00025,SELL0001,$50.62,50.79
ORD000121,1,PROD00095,SELL0055,$1202.35,79.92
ORD000424,2,PROD00006,SELL0022,$847.22,51.73
ORD000012,3,PROD00082,SELL0013,$433.22,63.64
ORD000316,3,PROD00039,SELL0033,$496.03,2.48
ORD000342,3,PROD00044,SELL0026,$859.85,76.89
ORD000180,2,PROD00025,SELL0022,$1384.59,39.37
ORD000486,3,PROD00103,SELL0003,$216.59,14.12
ORD000472,3,PROD00115,SELL0056,$1345.45,38.07
ORD000424,1,PROD00119,SELL0048,$1255.13,25.35
ORD000324,1,PROD00072,SELL0035,$324.27,55.47
ORD000363,2,PROD00009,SELL0010,$1263.50,28.45
ORD000385,1,PROD00081,SELL0035,$862.91,32.39
ORD000120,2,PROD00111,SELL0051,$1062.32,26.53
ORD000033,1,PROD00035,SELL0027,$753.13,20.54
ORD000463,1,PROD00107,SELL0020,$794.77,15.65
ORD000384,1,PROD00101,SELL0003,$1371.33,36.61
ORD000026,3,PROD00103,SELL0031,$243.81,28.53
ORD000496,3,PROD00094,SELL0056,$475.88,27.53
ORD000101,3,PROD00106,SELL0034,$1489.19,18.0
ORD000038,3,PROD00059,SELL0025,$1299.24,11.04
ORD000319,3,PROD00120,SELL0003,$1274.46,70.01
ORD000342,1,PROD00060,SELL0057,$168.11,61.76
ORD000320,2,PROD00003,SELL0037,$963.69,18.37
ORD000206,2,PROD00025,SELL0019,$805.43,62.28
ORD000121,1,PROD00035,SELL0010,$421.35,3.19
ORD000574,1,PROD00066,SELL0007,$820.66,44.85
ORD000278,2,PROD00019,SELL0046,$867.51,15.36
ORD000319,2,PROD00079,SELL0058,$817.76,5.96
ORD000030,3,PROD00061,SELL0058,$89.93,31.92
ORD000089,1,PROD00055,SELL0026,$1061.45,71.52
ORD000457,2,PROD00079,SELL0023,$508.51,17.46
ORD000547,2,PROD00011,SELL0060,$858.17,9.25
ORD000480,2,PROD00013,SELL0030,$1031.45,57.4
ORD000477,1,PROD00061,SELL0015,$228.43,71.86
ORD000265,2,PROD00117,SELL0024,$287.28,73.55
ORD000339,2,PROD00101,SELL0056,$688.13,4.36
ORD000487,2,PROD00015,SELL0023,$699.94,15.32
ORD000357,1,PROD00078,SELL0037,$769.31,33.64
ORD000110,3,PROD00042,SELL0036,$120.32,25.57
ORD000473,2,PROD00052,SELL0038,$369.28,21.01
ORD000163,1,PROD00062,SELL0025,$520.96,65.49
ORD000442,3,PROD00101,SELL0028,$1184.18,44.47
ORD000242,3,PROD00023,SELL0043,$130.67,74.61
ORD000588,1,PROD00108,SELL0032,$894.36,38.11
ORD000569,2,PROD00013,SELL0053,$276.62,76.56
ORD000072,3,PROD00077,SELL0007,$1223.89,62.16
ORD000389,3,PROD00042,SELL0032,$995.34,9.06
ORD000143,3,PROD00114,SELL0038,$1217.61,61.05
ORD000153,2,PROD00058,SELL0035,$594.12,47.08
ORD000201,2,PROD00027,SELL0044,$460.11,63.96
ORD000312,2,PROD00118,SELL0060,$1080.92,73.38
ORD000092,3,PROD00075,SELL0001,$1479.84,33.53
ORD000131,1,PROD00110,SELL0019,$563.30,44.81
ORD000055,3,PROD00001,SELL0046,$1233.82,30.02
ORD000289,1,PROD00111,SELL0002,$656.10,48.03
ORD000326,2,PROD00092,SELL0025,$581.62,44.52
ORD000178,1,PROD00061,SELL0009,$839.80,67.78
ORD000369,1,PROD00108,SELL0027,$443.38,70.07
ORD000129,1,PROD00018,SELL0001,$977.86,13.23
ORD000499,1,PROD00085,SELL0028,$140.73,52.09
ORD000426,3,PROD00111,SELL0030,$912.58,35.2
ORD000185,2,PROD00059,SELL0033,$834.79,37.1
ORD000364,2,PROD00029,SELL0012,$912.79,47.08
ORD000243,2,PROD00092,SELL0033,$625.09,44.6
ORD000376,3,PROD00005,SELL0003,$732.65,30.75
ORD000595,1,PROD00062,SELL0045,$226.00,59.04
ORD000287,1,PROD00060,SELL0034,$792.18,49.59
ORD000252,3,PROD00061,SELL0041,$1000.65,54.16
ORD000553,2,PROD00103,SELL0038,$925.36,72.48
ORD000548,2,PROD00100,SELL0001,$689.24,72.67
ORD000588,2,PROD00094,SELL0022,$539.08,78.27
ORD000302,1,PROD00038,SELL0011,$1047.15,48.62
ORD000312,3,PROD00094,SELL0051,$401.76,51.09
ORD000593,1,PROD00022,SELL0037,$989.64,24.76
ORD000028,1,PROD00037,SELL0032,$203.33,8.0
ORD000285,3,PROD00033,SELL0009,$432.24,68.91
ORD000015,3,PROD00095,SELL0008,$274.30,48.16
ORD000155,2,PROD00085,SELL0029,$1214.64,22.38
ORD000242,3,PROD00063,SELL0012,$1295.09,28.74
ORD000087,1,PROD00019,SELL0039,$1258.86,60.72
ORD000423,1,PROD00099,SELL0025,$996.09,58.63
ORD000172,3,PROD00027,SELL0037,$1265.12,6.24
ORD000271,1,PROD00097,SELL0053,$93.00,38.19
ORD000488,3,PROD00039,SELL0031,$1423.15,73.95
ORD000240,3,PROD00049,SELL0044,$594.25,22.48
ORD000544,1,PROD00112,SELL0028,$443.86,64.19
ORD000392,3,PROD00087,SELL0021,$1029.07,5.2
ORD000545,2,PROD00082,SELL0023,$921.57,52.86
ORD000280,2,PROD00043,SELL0018,$1206.44,21.92
ORD000599,3,PROD00051,SELL0030,$1127.40,59.28
ORD000200,3,PROD00067,SELL0022,$1040.06,16.03
ORD000561,1,PROD00002,SELL0044,$1250.06,2.93
ORD000101,3,PROD00068,SELL0007,$677.22,19.11
ORD000291,1,PROD00033,SELL0013,$50.20,9.17
ORD000223,1,PROD00077,SELL0041,$1066.49,11.36
ORD000134,3,PROD00049,SELL0043,$855.61,77.44
ORD000114,2,PROD00090,SELL0012,$452.43,53.52
ORD000078,2,PROD00082,SELL0030,$1157.50,55.99
ORD000332,1,PROD00033,SELL0011,$426.77,6.87
ORD000398,2,PROD00043,SELL0004,$1434.07,22.64
ORD000452,1,PROD00009,SELL0032,$921.30,15.92
ORD000504,3,PROD00014,SELL0010,$1156.53,19.03
ORD000109,3,PROD00117,SELL0029,$399.61,4.72
ORD000073,2,PROD00074,SELL0047,$1169.20,3.46
ORD000510,3,PROD00020,SELL0042,$16.29,4.95
ORD000400,3,PROD00035,SELL0010,$504.80,32.52
ORD000004,2,PROD00066,SELL0046,$725.04,33.51
ORD000072,1,PROD00070,SELL0015,$585.87,55.76
ORD000494,3,PROD00016,SELL0037,$1403.54,30.0
ORD000311,3,PROD00052,SELL0004,$1495.57,52.47
ORD000375,2,PROD00069,SELL0055,$134.48,37.85
ORD000297,1,PROD00083,SELL0013,$838.40,77.47
ORD000196,2,PROD00039,SELL0045,$1346.24,51.19
ORD000368,3,PROD00063,SELL0006,$665.41,16.78
ORD000037,3,PROD00025,SELL0002,$1494.63,20.6
ORD000399,3,PROD00009,SELL0051,$970.46,40.98
ORD000461,2,PROD00003,SELL0003,$98.24,63.45
ORD000044,1,PROD00052,SELL0008,$1213.55,54.05
ORD000470,3,PROD00087,SELL0056,$236.20,47.19
ORD000074,1,PROD00005,SELL0048,$741.01,3.49
ORD000047,3,PROD00032,SELL0045,$208.85,15.44
ORD000052,1,PROD00116,SELL0020,$692.43,15.31
ORD000066,1,PROD00105,SELL0053,$184.56,48.41
ORD000226,1,PROD00009,SELL0052,$647.92,65.3
ORD000412,3,PROD00042,SELL0008,$870.31,12.71
ORD000219,3,PROD00098,SELL0003,$272.57,6.93
ORD000281,2,PROD00019,SELL0049,$264.56,30.85
ORD000169,3,PROD00057,SELL0016,$75.44,9.8
ORD000386,1,PROD00100,SELL0011,$1321.25,8.3
ORD000008,1,PROD00023,SELL0060,$1064.51,48.31
ORD000291,2,PROD00054,SELL0045,$1043.15,18.08
ORD000278,2,PROD00067,SELL0029,$370.29,15.61
ORD000039,3,PROD00077,SELL0012,$757.33,76.12
ORD000309,1,PROD00045,SELL0027,$843.20,16.97
ORD000543,2,PROD00013,SELL0040,$1296.16,78.97
ORD000520,3,PROD00029,SELL0030,$994.10,23.56
ORD000199,1,PROD00015,SELL0051,$1032.59,77.55
ORD000486,1,PROD00064,SELL0012,$1010.16,5.36
ORD000373,2,PROD00037,SELL0014,$388.30,50.11
ORD000465,3,PROD00006,SELL0007,$92.90,43.91
ORD000162,2,PROD00101,SELL0002,$779.63,7.53
ORD000241,3,PROD00093,SELL0029,$875.95,34.69
ORD000334,1,PROD00030,SELL0050,$499.31,9.65
ORD000423,2,PROD00112,SELL0013,$1338.68,7.74
ORD000600,2,PROD00063,SELL0004,$230.24,74.38
ORD000466,2,PROD00023,SELL0025,$217.56,58.15
ORD000368,2,PROD00035,SELL0013,$203.91,55.99
ORD000062,1,PROD00036,SELL0009,$1279.70,37.77
ORD000176,1,PROD00098,SELL0022,$1331.32,49.08
ORD000175,1,PROD00074,SELL0036,$143.41,68.84
ORD000501,3,PROD00111,SELL0014,$718.13,38.1
ORD000015,3,PROD00094,SELL0028,$1310.81,21.33
ORD000445,3,PROD00075,SELL0015,$1420.18,73.27
ORD000006,1,PROD00054,SELL0003,$1487.04,59.21
ORD000517,3,PROD00005,SELL0028,$600.57,65.16
ORD000101,1,PROD00058,SELL0032,$138.39,60.74
ORD000417,2,PROD00028,SELL0009,$454.25,52.52
ORD000093,3,PROD00003,SELL0031,$467.68,56.86
ORD000585,1,PROD00096,SELL0038,$1464.98,38.17
ORD000142,2,PROD00112,SELL0046,$289.64,69.98
ORD000476,1,PROD00091,SELL0041,$1292.67,7.51
ORD000341,2,PROD00068,SELL0003,$647.46,23.04
ORD000556,1,PROD00074,SELL0051,$1184.72,8.31
ORD000344,1,PROD00095,SELL0060,$779.38,72.98
ORD000373,1,PROD00114,SELL0004,$583.69,38.3
ORD000042,1,PROD00047,SELL0024,$977.54,56.98
ORD000575,1,PROD00091,SELL0050,$220.53,28.12
ORD000553,2,PROD00015,SELL0042,$1110.01,60.68
ORD000215,1,PROD00097,SELL0048,$490.89,72.04
ORD000516,2,PROD00088,SELL0028,$95.87,31.08
ORD000464,3,PROD00063,SELL0033,$1246.90,38.67
ORD000545,3,PROD00087,SELL0053,$1350.69,37.25
ORD000377,3,PROD00103,SELL0044,$1216.06,75.39
ORD000068,2,PROD00025,SELL0058,$144.65,32.47
ORD000184,1,PROD00037,SELL0005,$259.68,10.74
ORD000152,1,PROD00064,SELL0010,$788.22,50.93
ORD000301,3,PROD00054,SELL0044,$1398.61,38.96
ORD000431,3,PROD00057,SELL0048,$46.90,16.75
ORD000023,1,PROD00112,SELL0052,$1254.90,42.53
ORD000344,2,PROD00053,SELL0038,$988.80,63.37
ORD000498,3,PROD00076,SELL0043,$802.30,44.78
ORD000469,1,PROD00039,SELL0037,$1348.95,25.91
ORD000267,2,PROD00030,SELL0031,$1456.53,62.04
ORD000049,2,PROD00019,SELL0023,$692.05,14.98
ORD000165,2,PROD00092,SELL0035,$285.69,15.68
ORD000158,1,PROD00021,SELL0016,$76.11,26.7
ORD000130,2,PROD00057,SELL0017,$288.98,45.87
ORD000036,2,PROD00086,SELL0021,$234.70,36.98
ORD000167,1,PROD00069,SELL0020,$1381.84,33.56
