order_id,payment_sequential,payment_type,payment_installments,payment_value
ORD000338,1,credit_card,2,1282.57
ORD000339,1,credit_card,6,2111.17
ORD000340,1,credit_card,3,336.26
ORD000341,1,credit_card,3,670.5
ORD000342,1,credit_card,6,1613.03
ORD000342,2,voucher,1,78.15
ORD000343,1,credit_card,12,0.0
ORD000344,1,voucher,1,3564.44
ORD000345,1,credit_card,2,1931.77
ORD000346,1,credit_card,3,0.0
ORD000347,1,boleto,2,264.67
ORD000348,1,credit_card,2,1307.46
ORD000349,1,boleto,6,1131.82
ORD000350,1,boleto,3,172.62
ORD000351,1,credit_card,1,1664.23
ORD000352,1,credit_card,1,1286.15
ORD000353,1,voucher,1,0.0
ORD000354,1,credit_card,2,119.88
ORD000355,1,credit_card,3,1296.57
ORD000356,1,credit_card,1,4522.69
ORD000357,1,credit_card,1,983.3
ORD000358,1,credit_card,2,0.0
ORD000359,1,credit_card,3,0.0
ORD000360,1,credit_card,2,0.0
ORD000361,1,credit_card,2,0.0
ORD000362,1,credit_card,1,0.0
ORD000363,1,credit_card,3,2185.0
ORD000364,1,credit_card,12,1385.88
ORD000364,2,voucher,1,54.57
ORD000365,1,credit_card,1,965.98
ORD000366,1,credit_card,1,387.52
ORD000367,1,boleto,2,3168.69
ORD000368,1,credit_card,2,1758.57
ORD000368,2,voucher,1,18.16
ORD000369,1,credit_card,2,4014.09
ORD000370,1,credit_card,1,2381.95
ORD000371,1,credit_card,3,0.0
ORD000372,1,boleto,6,2064.4
ORD000373,1,credit_card,2,1275.78
ORD000374,1,credit_card,3,0.0
ORD000375,1,credit_card,12,1768.69
ORD000376,1,boleto,6,1189.66
ORD000377,1,credit_card,12,2770.24
ORD000378,1,boleto,12,2136.48
ORD000379,1,credit_card,2,931.02
ORD000380,1,credit_card,1,88.87
ORD000381,1,voucher,12,1419.43
ORD000382,1,credit_card,12,1039.68
ORD000383,1,credit_card,12,1348.53
ORD000384,1,credit_card,2,1889.14
ORD000385,1,credit_card,2,1950.86
ORD000386,1,credit_card,3,3217.76
ORD000387,1,boleto,1,4982.24
ORD000387,2,voucher,1,70.39
ORD000388,1,boleto,2,0.0
ORD000389,1,boleto,2,3244.48
ORD000390,1,credit_card,12,481.44
ORD000391,1,credit_card,12,1485.96
ORD000392,1,credit_card,1,1713.17
ORD000393,1,credit_card,6,0.0
ORD000394,1,credit_card,2,1013.76
ORD000394,2,voucher,1,51.92
ORD000395,1,credit_card,3,1548.35
ORD000396,1,credit_card,2,1475.04
ORD000397,1,credit_card,2,2260.13
ORD000398,1,credit_card,12,3589.98
ORD000399,1,voucher,3,1993.39
ORD000400,1,debit_card,1,2124.68
ORD000401,1,voucher,1,1345.52
ORD000402,1,credit_card,6,1386.95
ORD000403,1,boleto,3,2305.51
ORD000404,1,boleto,6,0.0
ORD000404,2,voucher,1,78.59
ORD000405,1,credit_card,1,4565.73
ORD000406,1,boleto,6,1501.04
ORD000407,1,credit_card,1,2850.96
ORD000408,1,debit_card,1,2180.0
ORD000408,2,voucher,1,9.54
ORD000409,1,credit_card,1,1517.61
ORD000410,1,voucher,6,944.25
ORD000411,1,credit_card,3,0.0
ORD000412,1,credit_card,1,947.75
ORD000413,1,voucher,3,0.0
ORD000414,1,credit_card,1,840.77
ORD000415,1,credit_card,3,2436.05
ORD000416,1,boleto,6,777.59
ORD000417,1,credit_card,2,1874.65
ORD000418,1,credit_card,3,1134.14
ORD000419,1,boleto,6,1098.01
ORD000420,1,boleto,12,2753.52
ORD000421,1,credit_card,6,1729.59
ORD000422,1,credit_card,6,1473.39
ORD000423,1,credit_card,3,2401.14
ORD000424,1,credit_card,2,3632.28
ORD000425,1,boleto,2,440.25
ORD000426,1,credit_card,6,1723.86
ORD000426,2,voucher,1,6.25
ORD000427,1,credit_card,6,1169.95
ORD000428,1,credit_card,2,2692.15
ORD000429,1,boleto,12,0.0
ORD000430,1,boleto,3,0.0
ORD000431,1,boleto,12,63.65
ORD000432,1,credit_card,3,696.24
ORD000433,1,credit_card,12,2446.56
ORD000434,1,boleto,2,1832.69
ORD000434,2,voucher,1,45.19
ORD000435,1,boleto,12,270.06
ORD000436,1,credit_card,1,0.0
ORD000437,1,credit_card,6,446.85
ORD000438,1,credit_card,12,62.0
ORD000439,1,credit_card,12,0.0
ORD000440,1,credit_card,2,2814.03
ORD000441,1,credit_card,3,0.0
ORD000441,2,voucher,1,30.9
ORD000442,1,credit_card,6,2716.34
ORD000443,1,credit_card,3,4607.1
ORD000444,1,credit_card,3,0.0
ORD000445,1,credit_card,6,5540.86
ORD000446,1,credit_card,2,1138.12
ORD000447,1,credit_card,1,1405.63
ORD000448,1,credit_card,2,0.0
ORD000448,2,voucher,1,14.6
ORD000449,1,credit_card,12,4815.37
ORD000450,1,credit_card,6,1795.82
ORD000451,1,boleto,3,2436.65
ORD000452,1,credit_card,2,937.22
ORD000453,1,credit_card,12,4192.54
ORD000454,1,credit_card,2,161.39
ORD000455,1,boleto,6,1023.71
ORD000456,1,voucher,2,2410.31
ORD000457,1,boleto,2,2286.61
ORD000458,1,voucher,2,964.46
ORD000459,1,boleto,6,0.0
ORD000460,1,credit_card,3,51.18
ORD000461,1,credit_card,1,758.43
ORD000462,1,debit_card,12,0.0
ORD000462,2,voucher,1,87.96
ORD000463,1,credit_card,1,1039.21
ORD000464,1,credit_card,3,3561.63
ORD000465,1,credit_card,2,2824.72
ORD000466,1,boleto,1,957.0
ORD000467,1,boleto,6,0.0
ORD000468,1,credit_card,12,2296.0
ORD000469,1,credit_card,3,3022.59
ORD000470,1,boleto,3,1618.08
ORD000471,1,voucher,12,1535.95
ORD000472,1,credit_card,12,2314.38
ORD000473,1,credit_card,6,886.86
ORD000474,1,boleto,2,1285.85
ORD000475,1,credit_card,12,0.0
ORD000476,1,debit_card,3,1945.58
ORD000477,1,credit_card,6,300.29
ORD000478,1,debit_card,12,3581.15
ORD000479,1,credit_card,12,2799.25
ORD000480,1,voucher,3,3315.45
ORD000481,1,credit_card,6,1815.42
ORD000482,1,credit_card,2,719.74
ORD000482,2,voucher,1,54.41
ORD000483,1,credit_card,12,2806.23
ORD000484,1,boleto,12,1375.18
ORD000485,1,boleto,3,1438.41
ORD000486,1,credit_card,2,1631.12
ORD000487,1,credit_card,3,3585.79
ORD000488,1,boleto,3,2574.3
ORD000489,1,credit_card,3,0.0
ORD000489,2,voucher,1,8.89
ORD000490,1,credit_card,12,0.0
ORD000491,1,credit_card,1,0.0
ORD000492,1,boleto,1,2105.35
ORD000492,2,voucher,1,18.08
ORD000493,1,voucher,12,1708.47
ORD000494,1,boleto,2,3252.12
ORD000495,1,boleto,2,1780.06
ORD000496,1,credit_card,12,503.41
ORD000497,1,credit_card,1,2917.99
ORD000498,1,credit_card,6,2101.72
ORD000499,1,debit_card,1,535.78
ORD000500,1,voucher,12,2933.65
ORD000501,1,credit_card,3,1554.16
ORD000502,1,credit_card,2,191.81
ORD000503,1,credit_card,2,0.0
ORD000504,1,credit_card,12,4911.95
ORD000505,1,credit_card,2,597.78
ORD000506,1,voucher,6,1031.7
ORD000507,1,credit_card,3,1696.69
ORD000508,1,boleto,3,0.0
ORD000509,1,credit_card,6,1306.77
ORD000510,1,credit_card,12,2720.28
ORD000510,2,voucher,1,77.84
ORD000511,1,credit_card,2,2395.21
ORD000512,1,credit_card,2,4426.02
ORD000513,1,credit_card,12,1116.84
ORD000514,1,credit_card,3,1390.6
ORD000514,2,voucher,1,85.29
ORD000515,1,credit_card,1,1240.82
ORD000516,1,boleto,12,2951.82
ORD000517,1,credit_card,1,3066.22
ORD000518,1,debit_card,1,0.0
ORD000519,1,credit_card,3,974.59
ORD000520,1,boleto,1,2231.57
ORD000521,1,credit_card,12,1385.66
ORD000522,1,credit_card,2,731.54
ORD000523,1,credit_card,6,983.13
ORD000524,1,voucher,2,2543.4
ORD000525,1,credit_card,1,409.98
ORD000526,1,credit_card,2,1083.81
ORD000527,1,credit_card,12,1721.07
ORD000528,1,credit_card,2,1138.29
ORD000529,1,credit_card,12,1198.43
ORD000530,1,credit_card,1,2027.05
ORD000531,1,credit_card,2,103.53
ORD000532,1,boleto,12,0.0
ORD000533,1,credit_card,6,1522.4
ORD000534,1,credit_card,6,3224.81
ORD000535,1,credit_card,2,0.0
ORD000536,1,boleto,2,1005.18
ORD000537,1,boleto,2,2017.64
ORD000538,1,credit_card,1,380.08
ORD000539,1,credit_card,3,1414.93
ORD000540,1,boleto,1,0.0
ORD000541,1,boleto,2,0.0
ORD000541,2,voucher,1,48.42
ORD000542,1,credit_card,1,0.0
ORD000543,1,credit_card,12,2243.95
ORD000544,1,voucher,3,1120.4
ORD000545,1,credit_card,6,4384.63
ORD000546,1,debit_card,3,2543.62
ORD000547,1,voucher,2,2151.61
ORD000548,1,boleto,6,1426.75
ORD000549,1,credit_card,2,0.0
ORD000550,1,boleto,3,782.99
ORD000551,1,voucher,2,3898.15
ORD000552,1,boleto,3,1026.14
ORD000553,1,credit_card,6,3445.1
ORD000554,1,credit_card,2,343.74
ORD000555,1,voucher,12,1692.43
ORD000556,1,boleto,12,2096.06
ORD000557,1,credit_card,12,1182.54
ORD000558,1,credit_card,1,0.0
ORD000559,1,credit_card,1,528.79
ORD000560,1,credit_card,6,1101.57
ORD000561,1,credit_card,2,1252.99
ORD000562,1,voucher,6,872.8
ORD000563,1,credit_card,1,1580.95
ORD000563,2,voucher,1,28.8
ORD000564,1,credit_card,1,3830.86
ORD000565,1,credit_card,1,0.0
ORD000566,1,credit_card,6,0.0
ORD000567,1,debit_card,12,0.0
ORD000568,1,credit_card,6,1679.38
ORD000569,1,credit_card,2,1288.38
ORD000570,1,credit_card,12,0.0
ORD000571,1,credit_card,12,355.92
ORD000571,2,voucher,1,96.18
ORD000572,1,credit_card,1,363.57
ORD000573,1,voucher,3,3872.24
ORD000574,1,credit_card,1,865.51
ORD000575,1,boleto,12,565.61
ORD000576,1,boleto,12,662.49
ORD000577,1,credit_card,3,0.0
ORD000578,1,credit_card,2,2152.95
ORD000579,1,credit_card,6,1520.82
ORD000580,1,credit_card,2,1848.03
ORD000581,1,credit_card,1,858.19
ORD000582,1,credit_card,12,1690.57
ORD000583,1,credit_card,3,3503.45
ORD000584,1,credit_card,3,858.11
ORD000584,2,voucher,1,87.79
ORD000585,1,debit_card,1,1503.15
ORD000586,1,credit_card,12,2298.43
ORD000587,1,credit_card,6,2982.48
ORD000588,1,credit_card,1,2652.2
ORD000589,1,debit_card,3,1620.1
ORD000590,1,credit_card,6,1767.43
ORD000591,1,credit_card,1,3430.01
ORD000592,1,credit_card,3,0.0
ORD000593,1,boleto,1,1014.4
ORD000594,1,credit_card,12,1026.09
ORD000595,1,boleto,1,1122.67
ORD000596,1,credit_card,6,335.81
ORD000597,1,credit_card,1,0.0
ORD000598,1,credit_card,2,888.29
ORD000599,1,credit_card,1,2604.92
ORD000600,1,credit_card,3,2424.23
